,date,dd,hr,Ts_C,Ts_K,P,precip,u,O3,uh,O3_nmol,td,Tleaf_C,u_,Rn,cloudfrac,R,PAR,PPFD,Idrctt,Idfuse,VPD,RH,CO2,h,SWP,SWC,Hd,VPD_dd,esat,eact,is_daylight,sinB,leaf_fphen,LAI,V_cmax_25,J_max_25,snow_depth,ustar_ref,ustar
0,,319,0,10.69,,101.0,0.0,1.42,6.593583333333328,,282.17963430102543,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,391.0,,,,,0.0,1.2863287912814652,1.2863287912814652,False,0.0,,,,,,,
1,,319,1,10.48,,101.0,0.0,1.31,5.38933928571428,,230.81345692068942,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,391.0,,,,,0.0,1.2684382629816515,1.2684382629816515,False,0.0,,,,,,,
2,,319,2,10.28,,101.0,0.0,1.21,4.039249999999997,,173.11419553076607,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,391.0,,,,,0.0,1.2516034022028741,1.2516034022028741,False,0.0,,,,,,,
3,,319,3,10.07,,101.0,0.0,1.18,4.393642857142853,,188.4423877001812,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,391.0,,,,,0.0,1.2341385193313303,1.2341385193313303,False,0.0,,,,,,,
4,,319,4,9.89,,101.0,0.0,1.22,4.065898809523805,,174.49641760252433,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,391.0,,,,,0.0,1.2193395465534231,1.2193395465534231,False,0.0,,,,,,,
5,,319,5,9.74,,101.0,0.0,1.3,3.078720238095236,,132.1996775696054,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,391.0,,,,,0.0,1.2071265083487317,1.2071265083487317,False,0.0,,,,,,,
6,,319,6,9.67,,101.0,0.0,1.41,2.422374999999997,,104.04207924314913,0.0,,,0.006732898653051299,,2.3378120323094786,1.0520154145392655,4.807710444444443,0.001918953417917297,1.0500964611213481,0.0,1.0,391.0,,,,,0.0,1.2014640005872397,1.2014640005872397,False,0.07791723045324758,,,,,,,
7,,319,7,11.49,,101.0,0.0,1.87,3.732410714285711,,159.28367299899446,0.0,,,0.07015439980549475,,24.359166599130123,10.961624969608556,50.094626111111104,0.0616660348056107,10.899958934802946,0.0,1.0,391.0,,,,,0.0,1.3565316887716952,1.3565316887716952,False,0.2646794493540623,,,,,,,
8,,319,8,14.34,,101.0,0.03,3.32,9.15745238095237,,386.92758360808995,0.0,,,0.216895520894724,,75.3109447551125,33.889925139800624,154.87695788888885,0.22297209478893668,33.66695304501169,0.14810878855923804,0.9094,391.0,,,,,0.14810878855923804,1.634754840609692,1.4866460520504539,True,0.42142649117870234,,,,,,,
9,,319,9,16.88,,101.0,0.08,3.5,16.385083333333313,,686.2518005802175,0.0,,,0.3446402502504255,,119.6667535591755,53.85003910162898,246.09467869444444,0.3811628328141602,53.468876268814824,0.38107947941091913,0.8019,391.0,,,,,0.5291882679701572,1.9236722837502227,1.5425928043393036,True,0.5374763040635525,,,,,,,
